nr;periodiserad;namn;forklaring;utgiven;uppdaterad;dcatnr;distribution;landing;conforms_to;datanr;namn_lank;forklaring_lank;fil_lank;filformat;fromdatum;tomdatum
11;ja;Intjanande till inkomstpension, SF0302 officiell statistik;Intjanandet till pensionerna kan matas pa olika satt beroende pa vilket matt man valjer att anvanda. I denna statistik redovisas tre matt for intjanandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsratt och genomsnittlig pensionsbehallnig. Fordelning efter kon och aldersgrupp.;2017-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds11;http://pensionsmyndigheten.se/datasets/dcat#dist11;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n30;2004-2008;Antal med pensionsratt, genomsnittligt pensionsunderlag och genomsnittligt pensionsratt. 2004-2008;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/intj%C3%A4nande/antal-personer-med-intj%C3%A4nad-pensionsr%C3%A4tt/statistik%20f%C3%B6r%20%C3%A5lderspension%20SF0302_01_2004-2008.xlsx;.xlsx;2004-01-01;2016-12-31
11;ja;Intjanande till inkomstpension, SF0302 officiell statistik;Intjanandet till pensionerna kan matas pa olika satt beroende pa vilket matt man valjer att anvanda. I denna statistik redovisas tre matt for intjanandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsratt och genomsnittlig pensionsbehallnig. Fordelning efter kon och aldersgrupp.;2017-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds12;http://pensionsmyndigheten.se/datasets/dcat#dist12;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n31;2009-2016;Antal med pensionsratt, genomsnittligt pensionsunderlag och genomsnittligt pensionsratt. 2009-2016;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/intj%C3%A4nande/antal-personer-med-intj%C3%A4nad-pensionsr%C3%A4tt/Statistik%20f%C3%B6r%20%C3%A5lderspension%20SF0302_01_2009-2016.xlsx;.xlsx;2004-01-01;2016-12-31
11;ja;Intjanande till inkomstpension, SF0302 officiell statistik;Intjanandet till pensionerna kan matas pa olika satt beroende pa vilket matt man valjer att anvanda. I denna statistik redovisas tre matt for intjanandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsratt och genomsnittlig pensionsbehallnig. Fordelning efter kon och aldersgrupp.;2017-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds13;http://pensionsmyndigheten.se/datasets/dcat#dist13;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n32;2004-2008;Antal med pensionsbehallning och genomsnittlig pensionsbehallning. 2004 - 2008;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/intj%C3%A4nande/antal-personer-med-pensionsbeh%C3%A5llning/Intj%C3%A4nande%20till%20inkomstpension%202009-2016,%20SF0302_02.xlsx;.xlsx;2004-01-01;2016-12-31
11;ja;Intjanande till inkomstpension, SF0302 officiell statistik;Intjanandet till pensionerna kan matas pa olika satt beroende pa vilket matt man valjer att anvanda. I denna statistik redovisas tre matt for intjanandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsratt och genomsnittlig pensionsbehallnig. Fordelning efter kon och aldersgrupp.;2017-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds14;http://pensionsmyndigheten.se/datasets/dcat#dist14;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n33;2009-2016;Antal med pensionsbehallning och genomsnittlig pensionsbehallning. 2009-2016;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/intj%C3%A4nande/antal-personer-med-pensionsbeh%C3%A5llning/Intj%C3%A4nande%20till%20inkomstpension%202004-2008,%20SF0302_02.xlsx;.xlsx;2004-01-01;2016-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2017-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds15;http://pensionsmyndigheten.se/datasets/dcat#dist15;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n34;2016;Antal pensionarer i december 2016;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/SF0301_01.xlsx;.xlsx;2016-01-01;2016-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2016-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds16;http://pensionsmyndigheten.se/datasets/dcat#dist16;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n35;2015;Antal pensionarer i december 2015;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/SF0301-7_Pensioner_och_Pensionstagare_2015p.xlsx;.xlsx;2015-01-01;2015-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2015-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds17;http://pensionsmyndigheten.se/datasets/dcat#dist17;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n36;2014;Antal pensionarer i december 2014;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2014.xls;.xls;2014-01-01;2014-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2014-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds18;http://pensionsmyndigheten.se/datasets/dcat#dist18;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n37;2013;Antal pensionarer i december 2013;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2013.xls;.xls;2013-01-01;2013-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2013-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds19;http://pensionsmyndigheten.se/datasets/dcat#dist19;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n38;2012;Antal pensionarer i december 2012;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2012.xlsx;.xls;2012-01-01;2012-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2012-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds20;http://pensionsmyndigheten.se/datasets/dcat#dist20;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n39;2011;Antal pensionarer i december 2011;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2011.xls;.xls;2011-01-01;2011-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2011-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds21;http://pensionsmyndigheten.se/datasets/dcat#dist21;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n40;2010;Antal pensionarer i december 2010;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2010.xls;.xls;2010-01-01;2010-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2010-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds22;http://pensionsmyndigheten.se/datasets/dcat#dist22;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n41;2009;Antal pensionarer i december 2009;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2009.xls;.xls;2009-01-01;2009-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2009-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds23;http://pensionsmyndigheten.se/datasets/dcat#dist23;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n42;2008;Antal pensionarer i december 2008;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2008.xls;.xls;2008-01-01;2008-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2008-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds24;http://pensionsmyndigheten.se/datasets/dcat#dist24;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n43;2007;Antal pensionarer i december 2007;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2007.xls;.xls;2007-01-01;2007-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2007-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds25;http://pensionsmyndigheten.se/datasets/dcat#dist25;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n44;2006;Antal pensionarer i december 2006;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2006.xls;.xls;2006-01-01;2006-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2006-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds26;http://pensionsmyndigheten.se/datasets/dcat#dist26;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n45;2005;Antal pensionarer i december 2005;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/2005_b02101.xls;.xls;2005-01-01;2005-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2005-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds27;http://pensionsmyndigheten.se/datasets/dcat#dist27;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n46;2004;Antal pensionarer i december 2004;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/2004_b02101.xls;.xls;2004-01-01;2004-12-31
12;ja;Utbetalning arsstatistik fran 2003;Statistiken redovisar alderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive ar. Fordelning pa kon.;2004-01-01;;http://pensionsmyndigheten.se/datasets/dcat#ds28;http://pensionsmyndigheten.se/datasets/dcat#dist28;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;https://www.pensionsmyndigheten.se/statistik-och-rapporter/Rapporter/rapporter;_n47;2003;Antal pensionarer i december 2003;https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/2003_b02101.xls;.xls;2003-01-01;2003-12-31
